Martes;1 ; MARZO;No;SMR;BOG
Miércoles;2 ; MARZO;No;SMR;BOG
Jueves;3 ; MARZO;No;SMR;BOG
Viernes;4 ; MARZO;No;SMR;BOG
Sábado;5 ; MARZO;No;SMR;BOG
Domingo;6 ; MARZO;No;SMR;BOG
Lunes;7 ; MARZO;No;SMR;BOG
Martes;8 ; MARZO;No;SMR;BOG
Miércoles;9 ; MARZO;No;SMR;BOG
Jueves;10 ; MARZO;No;SMR;BOG
Viernes;11 ; MARZO;No;SMR;BOG
Sábado;12 ; MARZO;No;SMR;BOG
Domingo;13 ; MARZO;No;SMR;BOG
Lunes;14 ; MARZO;No;SMR;BOG
Martes;15 ; MARZO;No;SMR;BOG
Miércoles;16 ; MARZO;No;SMR;BOG
Jueves;17 ; MARZO;155.703;SMR;BOG
Viernes;18 ; MARZO;165.100;SMR;BOG
Sábado;19 ; MARZO;155.703;SMR;BOG
Domingo;20 ; MARZO;155.703;SMR;BOG
Lunes;21 ; MARZO;403.776;SMR;BOG
Martes;22 ; MARZO;396.200;SMR;BOG
Miércoles;23 ; MARZO;185.250;SMR;BOG
Jueves;24 ; MARZO;155.703;SMR;BOG
Viernes;25 ; MARZO;155.703;SMR;BOG
Sábado;26 ; MARZO;194.600;SMR;BOG
Domingo;27 ; MARZO;229.600;SMR;BOG
Lunes;28 ; MARZO;155.703;SMR;BOG
Martes;29 ; MARZO;155.703;SMR;BOG
Miércoles;30 ; MARZO;155.703;SMR;BOG
Jueves;31 ; MARZO;155.703;SMR;BOG
Viernes;1 ; ABRIL;155.703;SMR;BOG
Sábado;2 ; ABRIL;155.703;SMR;BOG
Domingo;3 ; ABRIL;155.703;SMR;BOG
Lunes;4 ; ABRIL;155.703;SMR;BOG
Martes;5 ; ABRIL;155.703;SMR;BOG
Miércoles;6 ; ABRIL;155.703;SMR;BOG
Jueves;7 ; ABRIL;155.703;SMR;BOG
Viernes;8 ; ABRIL;155.703;SMR;BOG
Sábado;9 ; ABRIL;155.703;SMR;BOG
Domingo;10 ; ABRIL;155.703;SMR;BOG
Lunes;11 ; ABRIL;155.703;SMR;BOG
Martes;12 ; ABRIL;155.703;SMR;BOG
Miércoles;13 ; ABRIL;155.703;SMR;BOG
Jueves;14 ; ABRIL;155.703;SMR;BOG
Viernes;15 ; ABRIL;224.000;SMR;BOG
Sábado;16 ; ABRIL;396.200;SMR;BOG
Domingo;17 ; ABRIL;414.400;SMR;BOG
Lunes;18 ; ABRIL;229.600;SMR;BOG
Martes;19 ; ABRIL;155.703;SMR;BOG
Miércoles;20 ; ABRIL;155.703;SMR;BOG
Jueves;21 ; ABRIL;155.703;SMR;BOG
Viernes;22 ; ABRIL;155.703;SMR;BOG
Sábado;23 ; ABRIL;155.703;SMR;BOG
Domingo;24 ; ABRIL;155.703;SMR;BOG
Lunes;25 ; ABRIL;155.703;SMR;BOG
Martes;26 ; ABRIL;155.703;SMR;BOG
Miércoles;27 ; ABRIL;155.703;SMR;BOG
Jueves;28 ; ABRIL;155.703;SMR;BOG
Viernes;29 ; ABRIL;155.703;SMR;BOG
Sábado;30 ; ABRIL;155.703;SMR;BOG
Domingo;1 ; MAYO;155.703;SMR;BOG
Lunes;2 ; MAYO;155.703;SMR;BOG
Martes;3 ; MAYO;155.703;SMR;BOG
Miércoles;4 ; MAYO;155.703;SMR;BOG
Jueves;5 ; MAYO;155.703;SMR;BOG
Viernes;6 ; MAYO;155.703;SMR;BOG
Sábado;7 ; MAYO;155.703;SMR;BOG
Domingo;8 ; MAYO;155.703;SMR;BOG
Lunes;9 ; MAYO;155.703;SMR;BOG
Martes;10 ; MAYO;155.703;SMR;BOG
Miércoles;11 ; MAYO;155.703;SMR;BOG
Jueves;12 ; MAYO;155.703;SMR;BOG
Viernes;13 ; MAYO;155.703;SMR;BOG
Sábado;14 ; MAYO;155.703;SMR;BOG
Domingo;15 ; MAYO;155.703;SMR;BOG
Lunes;16 ; MAYO;155.703;SMR;BOG
Martes;17 ; MAYO;155.703;SMR;BOG
Miércoles;18 ; MAYO;155.703;SMR;BOG
Jueves;19 ; MAYO;155.703;SMR;BOG
Viernes;20 ; MAYO;155.703;SMR;BOG
Sábado;21 ; MAYO;155.703;SMR;BOG
Domingo;22 ; MAYO;155.703;SMR;BOG
Lunes;23 ; MAYO;155.703;SMR;BOG
Martes;24 ; MAYO;155.703;SMR;BOG
Miércoles;25 ; MAYO;155.703;SMR;BOG
Jueves;26 ; MAYO;155.703;SMR;BOG
Viernes;27 ; MAYO;155.703;SMR;BOG
Sábado;28 ; MAYO;155.703;SMR;BOG
Domingo;29 ; MAYO;155.703;SMR;BOG
Lunes;30 ; MAYO;160.900;SMR;BOG
Martes;31 ; MAYO;155.703;SMR;BOG
Miércoles;1 ; JUNIO;155.703;SMR;BOG
Jueves;2 ; JUNIO;155.703;SMR;BOG
Viernes;3 ; JUNIO;155.703;SMR;BOG
Sábado;4 ; JUNIO;155.703;SMR;BOG
Domingo;5 ; JUNIO;155.703;SMR;BOG
Lunes;6 ; JUNIO;155.703;SMR;BOG
Martes;7 ; JUNIO;155.703;SMR;BOG
Miércoles;8 ; JUNIO;155.703;SMR;BOG
Jueves;9 ; JUNIO;155.703;SMR;BOG
Viernes;10 ; JUNIO;155.703;SMR;BOG
Sábado;11 ; JUNIO;155.703;SMR;BOG
Domingo;12 ; JUNIO;155.703;SMR;BOG
Lunes;13 ; JUNIO;155.703;SMR;BOG
Martes;14 ; JUNIO;155.703;SMR;BOG
Miércoles;15 ; JUNIO;155.703;SMR;BOG
Jueves;16 ; JUNIO;155.703;SMR;BOG
Viernes;17 ; JUNIO;155.703;SMR;BOG
Sábado;18 ; JUNIO;155.703;SMR;BOG
Domingo;19 ; JUNIO;155.703;SMR;BOG
Lunes;20 ; JUNIO;165.100;SMR;BOG
Martes;21 ; JUNIO;165.100;SMR;BOG
Miércoles;22 ; JUNIO;155.703;SMR;BOG
Jueves;23 ; JUNIO;155.703;SMR;BOG
Viernes;24 ; JUNIO;155.703;SMR;BOG
Sábado;25 ; JUNIO;155.703;SMR;BOG
Domingo;26 ; JUNIO;155.703;SMR;BOG
Lunes;27 ; JUNIO;354.200;SMR;BOG
Martes;28 ; JUNIO;165.100;SMR;BOG
Miércoles;29 ; JUNIO;155.703;SMR;BOG
Jueves;30 ; JUNIO;155.703;SMR;BOG
Viernes;1 ; JULIO;155.703;SMR;BOG
Sábado;2 ; JULIO;155.703;SMR;BOG
Domingo;3 ; JULIO;155.703;SMR;BOG
Lunes;4 ; JULIO;354.200;SMR;BOG
Martes;5 ; JULIO;175.600;SMR;BOG
Miércoles;6 ; JULIO;155.703;SMR;BOG
Jueves;7 ; JULIO;155.703;SMR;BOG
Viernes;8 ; JULIO;155.703;SMR;BOG
Sábado;9 ; JULIO;155.703;SMR;BOG
Domingo;10 ; JULIO;155.703;SMR;BOG
Lunes;11 ; JULIO;175.600;SMR;BOG
Martes;12 ; JULIO;155.703;SMR;BOG
Miércoles;13 ; JULIO;155.703;SMR;BOG
Jueves;14 ; JULIO;155.703;SMR;BOG
Viernes;15 ; JULIO;155.703;SMR;BOG
Sábado;16 ; JULIO;155.703;SMR;BOG
Domingo;17 ; JULIO;155.703;SMR;BOG
Lunes;18 ; JULIO;181.900;SMR;BOG
Martes;19 ; JULIO;155.703;SMR;BOG
Miércoles;20 ; JULIO;155.703;SMR;BOG
Jueves;21 ; JULIO;155.703;SMR;BOG
Viernes;22 ; JULIO;155.703;SMR;BOG
Sábado;23 ; JULIO;155.703;SMR;BOG
Domingo;24 ; JULIO;155.703;SMR;BOG
Lunes;25 ; JULIO;165.100;SMR;BOG
Martes;26 ; JULIO;155.703;SMR;BOG
Miércoles;27 ; JULIO;155.703;SMR;BOG
Jueves;28 ; JULIO;155.703;SMR;BOG
Viernes;29 ; JULIO;155.703;SMR;BOG
Sábado;30 ; JULIO;155.703;SMR;BOG
Domingo;31 ; JULIO;155.703;SMR;BOG
Lunes;1 ; AGOSTO;155.703;SMR;BOG
Martes;2 ; AGOSTO;155.703;SMR;BOG
Miércoles;3 ; AGOSTO;155.703;SMR;BOG
Jueves;4 ; AGOSTO;155.703;SMR;BOG
Viernes;5 ; AGOSTO;155.703;SMR;BOG
Sábado;6 ; AGOSTO;155.703;SMR;BOG
Domingo;7 ; AGOSTO;160.900;SMR;BOG
Lunes;8 ; AGOSTO;169.300;SMR;BOG
Martes;9 ; AGOSTO;160.900;SMR;BOG
Miércoles;10 ; AGOSTO;155.703;SMR;BOG
Jueves;11 ; AGOSTO;155.703;SMR;BOG
Viernes;12 ; AGOSTO;155.703;SMR;BOG
Sábado;13 ; AGOSTO;155.703;SMR;BOG
Domingo;14 ; AGOSTO;160.900;SMR;BOG
Lunes;15 ; AGOSTO;312.200;SMR;BOG
Martes;16 ; AGOSTO;165.100;SMR;BOG
Miércoles;17 ; AGOSTO;155.703;SMR;BOG
Jueves;18 ; AGOSTO;155.703;SMR;BOG
Viernes;19 ; AGOSTO;155.703;SMR;BOG
Sábado;20 ; AGOSTO;155.703;SMR;BOG
Domingo;21 ; AGOSTO;155.703;SMR;BOG
Lunes;22 ; AGOSTO;181.900;SMR;BOG
Martes;23 ; AGOSTO;155.703;SMR;BOG
Miércoles;24 ; AGOSTO;155.703;SMR;BOG
Jueves;25 ; AGOSTO;155.703;SMR;BOG
Viernes;26 ; AGOSTO;155.703;SMR;BOG
Sábado;27 ; AGOSTO;155.703;SMR;BOG
Domingo;28 ; AGOSTO;155.703;SMR;BOG
Lunes;29 ; AGOSTO;175.600;SMR;BOG
Martes;30 ; AGOSTO;155.703;SMR;BOG
Miércoles;31 ; AGOSTO;155.703;SMR;BOG
